epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.026,1.4776,2.43958,1.22681,0.47794,0.20303,0.09999,0.03868,1.92864,4.34066,1.47122,0.000325758,0.000325758,0.06775
2,1633.39,1.38359,1.53451,1.16705,0.48644,0.52257,0.56444,0.32207,1.42652,2.16069,1.15242,0.000658275,0.000658275,0.0347492
3,1807.59,1.34254,1.28927,1.15543,0.86492,0.79767,0.87817,0.49283,1.44798,1.24838,1.19012,0.000989968,0.000989968,0.00174754
4,1992.27,1.31494,1.1471,1.15252,0.82968,0.78764,0.89506,0.47987,1.5584,1.21019,1.29771,0.000996287,0.000996287,0.000996287
5,2168.71,1.28756,1.03578,1.13525,0.92507,0.85598,0.92534,0.56569,1.35331,0.8913,1.15751,0.00099505,0.00099505,0.00099505
6,2351.64,1.27072,1.0171,1.12955,0.90596,0.87003,0.9351,0.55112,1.36558,0.89997,1.17658,0.000993812,0.000993812,0.000993812
7,2536.37,1.27998,0.97458,1.14307,0.8827,0.86215,0.9078,0.4877,1.56039,1.01838,1.23762,0.000992575,0.000992575,0.000992575
8,2720.71,1.2529,0.92781,1.10685,0.88139,0.8574,0.88602,0.52813,1.33577,1.16481,1.12756,0.000991338,0.000991338,0.000991338
9,2895.52,1.26171,0.93881,1.11921,0.86191,0.90089,0.92691,0.59736,1.21683,0.80537,1.08167,0.0009901,0.0009901,0.0009901
10,3076.01,1.19602,0.87281,1.08303,0.90584,0.87682,0.91267,0.57243,1.28002,0.93021,1.11878,0.000988863,0.000988863,0.000988863
11,3255.05,1.18832,0.86875,1.08791,0.91101,0.82801,0.92752,0.60401,1.23769,0.81687,1.10532,0.000987625,0.000987625,0.000987625
12,3438.51,1.21053,0.82846,1.09611,0.89824,0.89441,0.93955,0.6464,1.16739,0.72351,1.05029,0.000986387,0.000986387,0.000986387
13,3627.87,1.20387,0.86734,1.09623,0.91492,0.92002,0.93273,0.62132,1.19046,0.72884,1.05999,0.00098515,0.00098515,0.00098515
14,3818.89,1.2136,0.82967,1.1027,0.94532,0.9294,0.94416,0.61512,1.21627,0.697,1.06696,0.000983912,0.000983912,0.000983912
15,3998.06,1.19092,0.80334,1.08825,0.95132,0.92217,0.95726,0.64264,1.1935,0.69905,1.08645,0.000982675,0.000982675,0.000982675
16,4170.6,1.16595,0.7922,1.08136,0.95257,0.89393,0.96301,0.6006,1.2576,0.71202,1.08163,0.000981437,0.000981437,0.000981437
17,4355.05,1.20494,0.83402,1.0894,0.91368,0.90512,0.96041,0.64453,1.16833,0.66428,1.0453,0.0009802,0.0009802,0.0009802
18,4559.68,1.18009,0.79558,1.08612,0.92103,0.94233,0.95991,0.60617,1.23104,0.69592,1.09053,0.000978963,0.000978963,0.000978963
19,4753.19,1.17684,0.78027,1.08727,0.91917,0.90039,0.96066,0.61504,1.25603,0.69824,1.07554,0.000977725,0.000977725,0.000977725
20,4944.53,1.18034,0.76069,1.09051,0.95026,0.86671,0.95831,0.55346,1.44359,0.71679,1.18904,0.000976488,0.000976488,0.000976488
21,5126.68,1.20137,0.7792,1.09602,0.92371,0.87107,0.94573,0.62146,1.2488,0.72234,1.09965,0.00097525,0.00097525,0.00097525
22,5317.37,1.16489,0.75086,1.08295,0.89867,0.8468,0.93589,0.63922,1.15988,0.73678,1.06306,0.000974013,0.000974013,0.000974013
