epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,3589.65,1.11214,0.71614,1.05024,0.93455,0.9175,0.94331,0.65624,1.1329,0.71258,1.05954,0.000896846,0.000896846,0.000896846
16,4009.81,1.08676,0.69103,1.02357,0.95474,0.91355,0.95172,0.66448,1.10581,0.68177,1.0253,0.000841835,0.000841835,0.000841835
17,4183.05,1.07011,0.64461,1.01592,0.95173,0.94733,0.9653,0.6724,1.10712,0.65953,1.03074,0.000786824,0.000786824,0.000786824
18,4364.28,1.11494,0.69435,1.04458,0.96169,0.92103,0.97024,0.68603,1.08812,0.6438,1.02629,0.000731813,0.000731813,0.000731813
19,4522.01,1.05771,0.62375,1.01496,0.94758,0.93236,0.96066,0.66307,1.12489,0.63351,1.04036,0.000676802,0.000676802,0.000676802
20,7330.31,1.05116,0.59691,1.00129,0.97526,0.91872,0.97242,0.68916,1.09025,0.60654,1.02169,0.000621791,0.000621791,0.000621791
21,7499.76,1.01153,0.55239,1.00813,0.93549,0.93969,0.97242,0.68056,1.08291,0.63796,1.02817,0.00056678,0.00056678,0.00056678
22,7663.95,1.00711,0.5369,0.99595,0.95587,0.94551,0.96918,0.68571,1.0424,0.60052,1.00402,0.000511769,0.000511769,0.000511769
23,7832.11,0.98988,0.52142,1.00329,0.95481,0.92967,0.96922,0.67675,1.08556,0.58535,1.01653,0.000456758,0.000456758,0.000456758
24,8000.62,0.96574,0.50659,0.98885,0.93382,0.95217,0.96968,0.68789,1.07969,0.5849,1.02371,0.000401747,0.000401747,0.000401747
25,8181.64,0.96032,0.4754,0.98814,0.95242,0.92886,0.97701,0.68978,1.07,0.55843,1.01684,0.000346736,0.000346736,0.000346736
26,8355.05,0.94569,0.4746,0.97682,0.94612,0.94083,0.97791,0.69902,1.05973,0.55749,1.01723,0.000291725,0.000291725,0.000291725
27,8526.34,0.93949,0.4796,0.97997,0.97679,0.88708,0.97017,0.68487,1.08559,0.55698,1.02304,0.000236714,0.000236714,0.000236714
28,8710.47,0.94196,0.47022,0.97425,0.94552,0.95091,0.97388,0.69159,1.0685,0.53578,1.01205,0.000181703,0.000181703,0.000181703
29,8889.59,0.92603,0.45051,0.96264,0.96974,0.91879,0.97314,0.69707,1.07372,0.52539,1.02029,0.000126692,0.000126692,0.000126692
30,9057.72,0.91206,0.44629,0.96048,0.95808,0.93171,0.974,0.69029,1.0717,0.52365,1.01603,7.1681e-05,7.1681e-05,7.1681e-05
